"Excel Raw Data Export"
"(C)Copyright 2005 Corbett Research, Pty Ltd. (R) All Rights Reserved."
"File";"200108 B duplex C opt gain MDV Harri 2007-11-09 (1) 2007-11-09 (1) 2020-01-08 (1).rex"
"Date";"2020-01-08"
"Time";"12:02:34"


"Channel Cycling A.Green"

"ID";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11"
"Page 1";" 1";" 2";" 3";" 4";" 5";" 6";" 7";" 8";" 9";" 10";" 11"
"29";"3,35170284815513";"1,65745675702188";"3,75489315750245";"1,63060255529928";"3,44290484826077";"4,65186541542687";"3,59021309810964";"0,927748531319142";"2,3557582266669";"2,27315829055358";"1,98766366768198"
"30";"3,24864576180667";"1,59901833625798";"3,89401262908459";"1,55683638860567";"3,36888685435264";"4,64728770885786";"3,5976958876936";"0,918593118181125";"2,28394859889481";"2,1910683858498";"1,9083314259556"
"31";"3,21155460088855";"1,54773432869107";"3,7368390936141";"1,48653391317617";"3,2876516365301";"4,63756888568058";"3,60500261164029";"0,895813578349628";"2,21799420157168";"2,30934397105145";"1,84939345387961"
"32";"3,46325300548235";"1,51327881700965";"3,57917965150742";"1,43500201637075";"3,24568932631418";"4,79961634459231";"3,63386670550781";"0,861589772095609";"2,20833259972651";"2,23147936217288";"1,99588006408789"
"33";"3,37893433338615";"1,45289363874853";"3,664127129451";"1,43638259454236";"3,17998016327153";"4,86416927341624";"3,52566636842215";"0,855725947966736";"2,1542687113756";"2,16306172274357";"1,92791872810184"
"34";"3,27306019684138";"1,3913684799471";"3,77426820274154";"1,3667505912871";"3,16909539431856";"4,92768313551101";"3,49813076981766";"0,897817372983315";"2,06823325958139";"2,07675288014038";"1,8667505912871"
"35";"3,19055975178658";"1,35589125403728";"3,64690623331045";"1,29358358129244";"3,52145527471689";"4,94487678339818";"3,7814203801844";"0,875985233961888";"2,02465421966452";"2,02497393250426";"1,76585030899519"
"36";"3,09058772666005";"1,29508405177895";"3,52013897447635";"1,35910200656138";"3,44572189845708";"4,88495787420026";"3,92473780892183";"0,845985605656011";"2,01746068077036";"2,14318831393677";"1,76737621118486"
"37";"3,02281223773556";"1,26192111085679";"3,45883878843366";"1,30699391399781";"3,34759464995217";"4,82541135779863";"3,85900663767453";"0,819518468866146";"2,01008269216097";"2,05421647856988";"1,7067215991455"
"38";"2,89572638393879";"1,20581486111356";"3,36069057973384";"1,27206387247048";"3,27331451387299";"4,70618753337911";"3,77628094039172";"0,792833346049185";"1,94493840637123";"1,98977645532921";"1,61837186236362"
